Message_id	room_id	Origin	Content	Type	Target	Additional		
42279c2c-e046-47b9-8947-15ed2dd4620b	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	hi	None				
f807479c-c17a-4086-bdb1-791895394a01	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	Hello	None				
7c50f9af-2f23-462b-8ce0-12a97a04f71a	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Alpaca	hiya	None				
819bd7d8-252d-4cd3-a813-e82c01a50ddc	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	is it 4 and u?	Non-probing-deliberation	Solution	complete_solution		
f8e91a85-a7df-446b-af70-bb796668f287	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	So what do you guys think?	Probing	Moderation			
6faf3082-acb6-46aa-921a-f3753ca9470d	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	I think we only need to do 2 right?	Non-probing-deliberation	Solution			
8ffe3448-60a7-40ff-b357-23ea769c8f25	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Alpaca	I believe the answer is 3 and u.	Non-probing-deliberation	Solution	complete_solution		
f11c6a43-8682-490b-88f3-fe935ead3e30	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	I don't have a 2	Non-probing-deliberation	Solution			
1f7a32fb-d12c-48cb-bc39-afbf3d30f6d2	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	No I meant like two cards	Non-probing-deliberation	Solution			
31b05f8b-a732-4433-bf5a-938411cea1ad	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	3 and u may be it	Non-probing-deliberation	Solution	complete_solution		
c3592aee-d017-44d3-bc6e-7a2685ec4a18	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	yes two cards	Non-probing-deliberation	Agree			
5545dd4e-c3ae-4fbc-8c60-4573ee8289d4	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	should be even # to show vowel on other side and U, a vowel to show even # on the other side	Non-probing-deliberation	Reasoning			
25b75458-31e9-4ee9-84d2-8be91821ee15	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Chipmunk	That does make sense	Non-probing-deliberation	Agree			
aa1d9ef6-b052-4c20-8146-7931b17968a0	d27d5b32-27d9-40a2-881b-5f64a8cd1c2f	Leopard	i think so	Non-probing-deliberation	Agree			
